titulo,spotify_url,source_image,cover_file,cover_path_mkdocs,matched_exact
86: Eighty Six,https://open.spotify.com/playlist/38ecDVfgFhYCh9vauJNwGp,86.jpg,86_Eighty_Six.jpg,assets/covers/86_Eighty_Six.jpg,False
Ahiru no Sora,https://open.spotify.com/playlist/0vK7o8T8mG4Y9n1ChECXza,Ahiru no Sora.jpg,Ahiru_no_Sora.jpg,assets/covers/Ahiru_no_Sora.jpg,True
Akame ga Kill,https://open.spotify.com/playlist/0PQaPZdehXQroU5FgDBThj,Akame ga Kill.jpg,Akame_ga_Kill.jpg,assets/covers/Akame_ga_Kill.jpg,True
Ao Ashi,https://open.spotify.com/playlist/4Q2mzQo3PDgSq5HXDsV2kd,Ao Ashi.jpg,Ao_Ashi.jpg,assets/covers/Ao_Ashi.jpg,True
Ao no Exorcist,https://open.spotify.com/playlist/2As2Dr4q0iQzhbx6utZWbJ,Ao no Exorcist.jpg,Ao_no_Exorcist.jpg,assets/covers/Ao_no_Exorcist.jpg,True
Baki,https://open.spotify.com/playlist/7xADEuSkbrEFIzbz3xOFVE,Baki.jpg,Baki.jpg,assets/covers/Baki.jpg,True
Banana Fish,https://open.spotify.com/playlist/0zJf2SqYj4ZUkWBzy7iUbL,Banana Fish.jpg,Banana_Fish.jpg,assets/covers/Banana_Fish.jpg,True
Black Butler,https://open.spotify.com/playlist/6EbE10ejtHtJwONbdZwCX4,Black Butler.jpg,Black_Butler.jpg,assets/covers/Black_Butler.jpg,True
Black Clover,https://open.spotify.com/playlist/3KuvokuxoMO60wewY0AU8p,Black Clover.jpg,Black_Clover.jpg,assets/covers/Black_Clover.jpg,True
Bleach,https://open.spotify.com/playlist/0KNSELX9yauK6lv27xllVR,Bleach.jpg,Bleach.jpg,assets/covers/Bleach.jpg,True
Blue Box,https://open.spotify.com/playlist/3Ysa1AoO90efA8Lo4eTljz,Blue Box.jpg,Blue_Box.jpg,assets/covers/Blue_Box.jpg,True
Blue Lock,https://open.spotify.com/playlist/366pIMkoSJzG7MXn5NKXqq,Blue Lock.jpg,Blue_Lock.jpg,assets/covers/Blue_Lock.jpg,True
Bocchi the Rock,https://open.spotify.com/playlist/53oIBHiZKYOPcboKsJtgbX,Bochi the Rock!.jpg,Bocchi_the_Rock.jpg,assets/covers/Bocchi_the_Rock.jpg,False
Boku no Hero Academia,https://open.spotify.com/playlist/7AVUmaysWTGhaNcxSdEaus,Boku no Hero Academia.jpg,Boku_no_Hero_Academia.jpg,assets/covers/Boku_no_Hero_Academia.jpg,True
Boruto,https://open.spotify.com/playlist/6BIHD77iITKPM93gdtxGMV,Boruto.jpg,Boruto.jpg,assets/covers/Boruto.jpg,True
Bungo Stray Dogs,https://open.spotify.com/playlist/1unbU5nC8dTX2egxn84SXa,Bungou Stray Dogs.jpg,Bungo_Stray_Dogs.jpg,assets/covers/Bungo_Stray_Dogs.jpg,False
Call of the Night,https://open.spotify.com/playlist/6pHcq1C62Eg6qVrC6UqX6Z,Call of the Night.jpg,Call_of_the_Night.jpg,assets/covers/Call_of_the_Night.jpg,True
Chainsaw Man,https://open.spotify.com/playlist/1coAMjR5WNcObOjRfr7pAE,Chainsawman.jpg,Chainsaw_Man.jpg,assets/covers/Chainsaw_Man.jpg,False
Code Geass,https://open.spotify.com/playlist/4twwR9yEgNQNUiWe2qOyMy,Code Geass.jpg,Code_Geass.jpg,assets/covers/Code_Geass.jpg,True
Cowboy Bebop,https://open.spotify.com/playlist/4X2vkkENH2iu2fcncdAucD,Cowboy Bebop.jpg,Cowboy_Bebop.jpg,assets/covers/Cowboy_Bebop.jpg,True
Dandadan,https://open.spotify.com/playlist/5m4FzcBEIANeNH3J4ho6Nd,Dandadan.jpg,Dandadan.jpg,assets/covers/Dandadan.jpg,True
